,year,month,stateid,price,price-units
84,10,2023,SAT,7.45,cents per kilowatt-hour
86,10,2023,SAT,15.0,cents per kilowatt-hour
87,10,2023,SAT,10.25,cents per kilowatt-hour
88,10,2023,ESC,10.7,cents per kilowatt-hour
89,10,2023,ESC,11.97,cents per kilowatt-hour
90,10,2023,ESC,6.7,cents per kilowatt-hour
92,10,2023,ESC,13.48,cents per kilowatt-hour
93,10,2023,ESC,0.0,cents per kilowatt-hour
94,10,2023,WSC,9.74,cents per kilowatt-hour
95,10,2023,WSC,9.15,cents per kilowatt-hour
96,10,2023,WSC,6.38,cents per kilowatt-hour
98,10,2023,WSC,14.18,cents per kilowatt-hour
99,10,2023,WSC,7.34,cents per kilowatt-hour
100,10,2023,MTN,10.84,cents per kilowatt-hour
101,10,2023,MTN,10.83,cents per kilowatt-hour
102,10,2023,MTN,7.52,cents per kilowatt-hour
104,09,2023,LA,5.35,cents per kilowatt-hour
106,09,2023,LA,11.42,cents per kilowatt-hour
107,09,2023,LA,10.52,cents per kilowatt-hour
108,09,2023,ME,20.2,cents per kilowatt-hour
109,09,2023,ME,16.94,cents per kilowatt-hour
110,09,2023,ME,12.47,cents per kilowatt-hour
112,09,2023,ME,26.79,cents per kilowatt-hour
113,09,2023,ME,0.0,cents per kilowatt-hour
114,09,2023,MD,14.26,cents per kilowatt-hour
115,09,2023,MD,12.41,cents per kilowatt-hour
116,09,2023,MD,9.82,cents per kilowatt-hour
118,09,2023,MD,16.95,cents per kilowatt-hour
119,09,2023,MD,11.44,cents per kilowatt-hour
120,09,2023,MA,22.22,cents per kilowatt-hour
121,09,2023,MA,18.71,cents per kilowatt-hour
122,09,2023,MA,17.44,cents per kilowatt-hour
124,09,2023,MA,28.18,cents per kilowatt-hour
125,09,2023,MA,6.79,cents per kilowatt-hour
126,09,2023,MI,13.73,cents per kilowatt-hour
127,09,2023,MI,13.23,cents per kilowatt-hour
128,09,2023,MI,8.18,cents per kilowatt-hour
130,09,2023,MI,19.49,cents per kilowatt-hour
131,09,2023,MI,13.71,cents per kilowatt-hour
132,09,2023,MN,12.74,cents per kilowatt-hour
133,09,2023,MN,12.97,cents per kilowatt-hour
134,09,2023,MN,9.7,cents per kilowatt-hour
136,09,2023,MN,15.44,cents per kilowatt-hour
137,09,2023,MN,12.53,cents per kilowatt-hour
138,01,2023,NJ,14.7,cents per kilowatt-hour
139,01,2023,NJ,13.54,cents per kilowatt-hour
140,01,2023,NJ,11.94,cents per kilowatt-hour
142,01,2023,NJ,16.89,cents per kilowatt-hour
143,01,2023,NJ,14.36,cents per kilowatt-hour
144,11,2023,MAT,14.82,cents per kilowatt-hour
145,11,2023,ENC,11.79,cents per kilowatt-hour
146,11,2023,ENC,11.94,cents per kilowatt-hour
147,11,2023,ENC,7.78,cents per kilowatt-hour
149,11,2023,ENC,16.18,cents per kilowatt-hour
150,11,2023,ENC,5.94,cents per kilowatt-hour
151,11,2023,WNC,9.82,cents per kilowatt-hour
152,11,2023,WNC,9.72,cents per kilowatt-hour
153,11,2023,WNC,7.28,cents per kilowatt-hour
155,11,2023,WNC,12.67,cents per kilowatt-hour
156,11,2023,WNC,10.47,cents per kilowatt-hour
157,11,2023,SAT,11.74,cents per kilowatt-hour
158,11,2023,SAT,10.74,cents per kilowatt-hour
159,11,2023,SAT,7.44,cents per kilowatt-hour
161,11,2023,SAT,14.54,cents per kilowatt-hour
162,11,2023,SAT,10.21,cents per kilowatt-hour
163,11,2023,ESC,10.7,cents per kilowatt-hour
164,11,2023,ESC,12.01,cents per kilowatt-hour
165,11,2023,ESC,6.7,cents per kilowatt-hour
167,11,2023,ESC,13.53,cents per kilowatt-hour
168,11,2023,ESC,0.0,cents per kilowatt-hour
169,01,2023,NM,9.26,cents per kilowatt-hour
170,01,2023,NM,10.27,cents per kilowatt-hour
171,01,2023,NM,5.75,cents per kilowatt-hour
173,01,2023,NM,13.27,cents per kilowatt-hour
174,01,2023,NM,0.0,cents per kilowatt-hour
175,01,2023,NY,18.97,cents per kilowatt-hour
176,01,2023,NY,17.97,cents per kilowatt-hour
177,01,2023,NY,7.49,cents per kilowatt-hour
179,01,2023,NY,23.62,cents per kilowatt-hour
180,01,2023,NY,14.75,cents per kilowatt-hour
181,01,2023,NC,10.64,cents per kilowatt-hour
182,01,2023,NC,9.76,cents per kilowatt-hour
183,01,2023,NC,7.34,cents per kilowatt-hour
185,01,2023,NC,12.37,cents per kilowatt-hour
186,01,2023,NC,7.69,cents per kilowatt-hour
187,01,2023,ND,8.32,cents per kilowatt-hour
188,01,2023,ND,8.21,cents per kilowatt-hour
189,01,2023,ND,7.39,cents per kilowatt-hour
190,11,2023,WSC,9.21,cents per kilowatt-hour
191,11,2023,WSC,8.85,cents per kilowatt-hour
192,11,2023,WSC,6.05,cents per kilowatt-hour
194,11,2023,WSC,13.86,cents per kilowatt-hour
195,11,2023,WSC,7.77,cents per kilowatt-hour
196,11,2023,MTN,10.79,cents per kilowatt-hour
197,11,2023,MTN,10.76,cents per kilowatt-hour
198,11,2023,MTN,7.54,cents per kilowatt-hour
200,11,2023,MTN,13.85,cents per kilowatt-hour
201,11,2023,MTN,12.57,cents per kilowatt-hour
202,11,2023,PACC,18.63,cents per kilowatt-hour
203,11,2023,PACC,18.82,cents per kilowatt-hour
204,11,2023,PACC,13.08,cents per kilowatt-hour
206,11,2023,PACC,21.57,cents per kilowatt-hour
207,11,2023,PACC,13.17,cents per kilowatt-hour
208,11,2023,PACN,32.59,cents per kilowatt-hour
209,11,2023,PACN,30.99,cents per kilowatt-hour
210,11,2023,PACN,31.87,cents per kilowatt-hour
212,11,2023,PACN,35.06,cents per kilowatt-hour
213,11,2023,PACN,0.0,cents per kilowatt-hour
214,11,2023,US,12.44,cents per kilowatt-hour
215,11,2023,US,12.43,cents per kilowatt-hour
216,11,2023,US,7.79,cents per kilowatt-hour
218,11,2023,US,16.19,cents per kilowatt-hour
219,11,2023,US,12.6,cents per kilowatt-hour
220,05,2023,AZ,12.12,cents per kilowatt-hour
221,05,2023,AZ,8.01,cents per kilowatt-hour
223,05,2023,AZ,14.3,cents per kilowatt-hour
224,05,2023,AZ,10.45,cents per kilowatt-hour
225,05,2023,AR,9.22,cents per kilowatt-hour
226,05,2023,AR,10.26,cents per kilowatt-hour
227,05,2023,AR,6.3,cents per kilowatt-hour
229,05,2023,AR,12.32,cents per kilowatt-hour
230,05,2023,AR,15.12,cents per kilowatt-hour
231,05,2023,CA,23.42,cents per kilowatt-hour
232,05,2023,CA,21.77,cents per kilowatt-hour
233,05,2023,CA,17.7,cents per kilowatt-hour
235,05,2023,CA,29.82,cents per kilowatt-hour
236,05,2023,CA,13.12,cents per kilowatt-hour
237,05,2023,CO,11.5,cents per kilowatt-hour
238,05,2023,CO,11.23,cents per kilowatt-hour
239,05,2023,CO,8.46,cents per kilowatt-hour
241,05,2023,CO,14.34,cents per kilowatt-hour
242,05,2023,CO,11.3,cents per kilowatt-hour
243,05,2023,CT,23.81,cents per kilowatt-hour
244,05,2023,CT,19.33,cents per kilowatt-hour
245,06,2023,ME,20.5,cents per kilowatt-hour
246,06,2023,ME,18.44,cents per kilowatt-hour
247,06,2023,ME,11.58,cents per kilowatt-hour
249,06,2023,ME,27.56,cents per kilowatt-hour
250,06,2023,ME,0.0,cents per kilowatt-hour
251,06,2023,MD,14.25,cents per kilowatt-hour
252,06,2023,MD,12.5,cents per kilowatt-hour
253,06,2023,MD,9.57,cents per kilowatt-hour
255,06,2023,MD,17.0,cents per kilowatt-hour
256,06,2023,MD,11.16,cents per kilowatt-hour
257,06,2023,MA,21.99,cents per kilowatt-hour
258,06,2023,MA,19.36,cents per kilowatt-hour
259,06,2023,MA,17.5,cents per kilowatt-hour
261,06,2023,MA,27.52,cents per kilowatt-hour
262,06,2023,MA,7.28,cents per kilowatt-hour
263,06,2023,MI,13.96,cents per kilowatt-hour
264,06,2023,MI,13.69,cents per kilowatt-hour
265,06,2023,MI,8.19,cents per kilowatt-hour
267,06,2023,MI,19.38,cents per kilowatt-hour
268,06,2023,MI,13.85,cents per kilowatt-hour
269,06,2023,MN,13.1,cents per kilowatt-hour
270,06,2023,MN,13.38,cents per kilowatt-hour
271,06,2023,MN,9.9,cents per kilowatt-hour
273,06,2023,MN,15.68,cents per kilowatt-hour
274,06,2023,MN,13.9,cents per kilowatt-hour
275,06,2023,MS,10.97,cents per kilowatt-hour
276,06,2023,MS,12.27,cents per kilowatt-hour
277,06,2023,MS,6.9,cents per kilowatt-hour
279,05,2023,CT,14.61,cents per kilowatt-hour
281,05,2023,CT,31.36,cents per kilowatt-hour
282,05,2023,CT,16.12,cents per kilowatt-hour
283,05,2023,DE,12.41,cents per kilowatt-hour
284,05,2023,DE,11.88,cents per kilowatt-hour
285,05,2023,DE,6.99,cents per kilowatt-hour
287,05,2023,DE,16.62,cents per kilowatt-hour
288,05,2023,DE,0.0,cents per kilowatt-hour
289,05,2023,DC,16.52,cents per kilowatt-hour
290,05,2023,DC,16.75,cents per kilowatt-hour
291,05,2023,DC,11.06,cents per kilowatt-hour
293,05,2023,DC,17.09,cents per kilowatt-hour
294,05,2023,DC,10.39,cents per kilowatt-hour
295,05,2023,FL,13.34,cents per kilowatt-hour
296,05,2023,FL,11.81,cents per kilowatt-hour
297,05,2023,FL,9.13,cents per kilowatt-hour
299,05,2023,FL,15.09,cents per kilowatt-hour
300,05,2023,FL,11.49,cents per kilowatt-hour
301,05,2023,GA,10.59,cents per kilowatt-hour
302,06,2023,MS,13.27,cents per kilowatt-hour
303,06,2023,MS,0.0,cents per kilowatt-hour
304,06,2023,MO,12.13,cents per kilowatt-hour
305,06,2023,MO,11.28,cents per kilowatt-hour
306,06,2023,MO,8.58,cents per kilowatt-hour
308,06,2023,MO,14.1,cents per kilowatt-hour
309,06,2023,MO,9.7,cents per kilowatt-hour
310,06,2023,MT,10.55,cents per kilowatt-hour
311,06,2023,MT,12.24,cents per kilowatt-hour
312,06,2023,MT,6.59,cents per kilowatt-hour
314,06,2023,MT,13.16,cents per kilowatt-hour
315,06,2023,MT,0.0,cents per kilowatt-hour
316,06,2023,NE,9.66,cents per kilowatt-hour
317,06,2023,NE,9.2,cents per kilowatt-hour
318,06,2023,NE,8.12,cents per kilowatt-hour
320,10,2023,MTN,13.86,cents per kilowatt-hour
321,10,2023,MTN,12.92,cents per kilowatt-hour
322,01,2024,IN,14.0,cents per kilowatt-hour
323,01,2024,IN,11.86,cents per kilowatt-hour
324,01,2024,IA,8.93,cents per kilowatt-hour
325,01,2024,IA,9.69,cents per kilowatt-hour
326,01,2024,IA,6.48,cents per kilowatt-hour
328,01,2024,IA,11.85,cents per kilowatt-hour
329,01,2024,IA,0.0,cents per kilowatt-hour
330,01,2024,KS,10.89,cents per kilowatt-hour
331,01,2024,KS,10.5,cents per kilowatt-hour
332,01,2024,KS,8.1,cents per kilowatt-hour
334,01,2024,KS,13.04,cents per kilowatt-hour
335,01,2024,KS,0.0,cents per kilowatt-hour
336,01,2024,KY,10.61,cents per kilowatt-hour
337,01,2024,KY,11.63,cents per kilowatt-hour
338,01,2024,KY,7.18,cents per kilowatt-hour
340,01,2024,KY,12.51,cents per kilowatt-hour
341,01,2024,KY,0.0,cents per kilowatt-hour
342,01,2024,LA,8.41,cents per kilowatt-hour
343,01,2024,LA,9.48,cents per kilowatt-hour
344,01,2024,LA,5.75,cents per kilowatt-hour
346,01,2024,LA,10.82,cents per kilowatt-hour
347,10,2023,PACC,20.23,cents per kilowatt-hour
348,10,2023,PACC,20.4,cents per kilowatt-hour
349,10,2023,PACC,14.54,cents per kilowatt-hour
351,10,2023,PACC,23.84,cents per kilowatt-hour
352,10,2023,PACC,14.42,cents per kilowatt-hour
353,10,2023,PACN,31.97,cents per kilowatt-hour
354,10,2023,PACN,30.65,cents per kilowatt-hour
355,10,2023,PACN,30.39,cents per kilowatt-hour
357,10,2023,PACN,35.18,cents per kilowatt-hour
358,10,2023,PACN,0.0,cents per kilowatt-hour
359,12,2023,MD,11.7,cents per kilowatt-hour
360,12,2023,MA,23.1,cents per kilowatt-hour
361,12,2023,MA,19.74,cents per kilowatt-hour
362,12,2023,MA,17.66,cents per kilowatt-hour
364,12,2023,MA,28.94,cents per kilowatt-hour
365,12,2023,MA,6.94,cents per kilowatt-hour
366,12,2023,MI,13.78,cents per kilowatt-hour
367,12,2023,MI,13.23,cents per kilowatt-hour
368,12,2023,MI,8.29,cents per kilowatt-hour
370,12,2023,MI,18.7,cents per kilowatt-hour
371,12,2023,MI,13.68,cents per kilowatt-hour
372,12,2023,MN,11.46,cents per kilowatt-hour
373,12,2023,MN,11.39,cents per kilowatt-hour
374,12,2023,MN,8.44,cents per kilowatt-hour
376,12,2023,MN,14.09,cents per kilowatt-hour
377,12,2023,MN,10.52,cents per kilowatt-hour
378,12,2023,MS,10.75,cents per kilowatt-hour
379,12,2023,MS,12.43,cents per kilowatt-hour
380,12,2023,MS,6.89,cents per kilowatt-hour
382,12,2023,MS,13.06,cents per kilowatt-hour
383,12,2023,MS,0.0,cents per kilowatt-hour
384,12,2023,MO,9.88,cents per kilowatt-hour
385,12,2023,MO,9.16,cents per kilowatt-hour
386,12,2023,MO,7.26,cents per kilowatt-hour
388,12,2023,MO,11.33,cents per kilowatt-hour
389,12,2023,MO,8.63,cents per kilowatt-hour
390,12,2023,MT,10.84,cents per kilowatt-hour
391,11,2023,NH,21.39,cents per kilowatt-hour
392,11,2023,NH,19.38,cents per kilowatt-hour
393,11,2023,NH,15.95,cents per kilowatt-hour
395,11,2023,NH,25.58,cents per kilowatt-hour
396,11,2023,NH,0.0,cents per kilowatt-hour
397,11,2023,NJ,14.75,cents per kilowatt-hour
398,11,2023,NJ,13.64,cents per kilowatt-hour
399,11,2023,NJ,10.71,cents per kilowatt-hour
401,11,2023,NJ,17.47,cents per kilowatt-hour
402,11,2023,NJ,11.59,cents per kilowatt-hour
403,11,2023,NM,9.51,cents per kilowatt-hour
404,11,2023,NM,10.91,cents per kilowatt-hour
405,01,2024,LA,10.48,cents per kilowatt-hour
406,08,2023,SD,10.54,cents per kilowatt-hour
407,08,2023,SD,8.36,cents per kilowatt-hour
409,08,2023,SD,13.07,cents per kilowatt-hour
410,08,2023,SD,0.0,cents per kilowatt-hour
411,08,2023,TN,10.77,cents per kilowatt-hour
412,08,2023,TN,11.8,cents per kilowatt-hour
413,08,2023,TN,6.41,cents per kilowatt-hour
415,08,2023,TN,11.93,cents per kilowatt-hour
416,08,2023,TN,0.0,cents per kilowatt-hour
417,08,2023,TX,11.42,cents per kilowatt-hour
418,08,2023,TX,9.74,cents per kilowatt-hour
419,08,2023,TX,9.19,cents per kilowatt-hour
421,08,2023,TX,14.17,cents per kilowatt-hour
422,08,2023,TX,6.75,cents per kilowatt-hour
423,08,2023,UT,9.67,cents per kilowatt-hour
424,08,2023,UT,9.08,cents per kilowatt-hour
425,08,2023,UT,7.32,cents per kilowatt-hour
427,08,2023,UT,11.67,cents per kilowatt-hour
428,08,2023,UT,12.32,cents per kilowatt-hour
429,08,2023,VT,17.07,cents per kilowatt-hour
430,08,2023,VT,17.37,cents per kilowatt-hour
431,08,2023,VT,11.04,cents per kilowatt-hour
433,08,2023,VT,20.47,cents per kilowatt-hour
434,08,2023,VT,0.0,cents per kilowatt-hour
435,08,2023,VA,10.47,cents per kilowatt-hour
436,08,2023,VA,8.65,cents per kilowatt-hour
437,08,2023,VA,8.62,cents per kilowatt-hour
439,08,2023,VA,13.85,cents per kilowatt-hour
440,08,2023,VA,10.36,cents per kilowatt-hour
441,08,2023,WA,9.54,cents per kilowatt-hour
442,08,2023,WA,9.82,cents per kilowatt-hour
443,08,2023,WA,6.61,cents per kilowatt-hour
445,08,2023,WA,11.14,cents per kilowatt-hour
446,08,2023,WA,10.19,cents per kilowatt-hour
447,08,2023,WV,10.14,cents per kilowatt-hour
448,08,2023,WV,10.45,cents per kilowatt-hour
449,08,2023,WV,7.08,cents per kilowatt-hour
451,08,2023,WV,14.2,cents per kilowatt-hour
452,08,2023,WV,0.0,cents per kilowatt-hour
453,08,2023,WI,13.37,cents per kilowatt-hour
454,08,2023,WI,13.23,cents per kilowatt-hour
455,08,2023,WI,9.58,cents per kilowatt-hour
457,08,2023,WI,17.19,cents per kilowatt-hour
458,08,2023,WI,18.57,cents per kilowatt-hour
459,08,2023,WY,8.76,cents per kilowatt-hour
460,08,2023,WY,9.27,cents per kilowatt-hour
461,08,2023,WY,7.36,cents per kilowatt-hour
463,08,2023,WY,12.45,cents per kilowatt-hour
464,08,2023,WY,0.0,cents per kilowatt-hour
465,08,2023,NEW,22.14,cents per kilowatt-hour
466,02,2023,WSC,6.53,cents per kilowatt-hour
468,02,2023,WSC,13.89,cents per kilowatt-hour
469,02,2023,WSC,7.35,cents per kilowatt-hour
470,02,2023,MTN,10.52,cents per kilowatt-hour
471,02,2023,MTN,10.37,cents per kilowatt-hour
472,02,2023,MTN,7.45,cents per kilowatt-hour
474,02,2023,MTN,13.0,cents per kilowatt-hour
475,02,2023,MTN,12.94,cents per kilowatt-hour
476,02,2023,PACC,17.1,cents per kilowatt-hour
477,02,2023,PACC,17.4,cents per kilowatt-hour
478,02,2023,PACC,11.68,cents per kilowatt-hour
480,02,2023,PACC,19.38,cents per kilowatt-hour
481,02,2023,PACC,11.8,cents per kilowatt-hour
482,02,2023,PACN,32.41,cents per kilowatt-hour
483,02,2023,PACN,30.6,cents per kilowatt-hour
484,02,2023,PACN,32.82,cents per kilowatt-hour
486,02,2023,PACN,34.05,cents per kilowatt-hour
487,02,2023,PACN,0.0,cents per kilowatt-hour
488,02,2023,US,12.67,cents per kilowatt-hour
489,02,2023,US,12.53,cents per kilowatt-hour
490,02,2023,US,8.01,cents per kilowatt-hour
492,02,2023,US,15.98,cents per kilowatt-hour
493,02,2023,US,13.14,cents per kilowatt-hour
494,04,2023,AL,10.71,cents per kilowatt-hour
495,04,2023,AL,12.74,cents per kilowatt-hour
496,04,2023,AL,6.42,cents per kilowatt-hour
498,04,2023,AL,14.54,cents per kilowatt-hour
499,04,2023,AL,0.0,cents per kilowatt-hour
500,04,2023,AK,21.36,cents per kilowatt-hour
501,04,2023,AK,21.08,cents per kilowatt-hour
502,04,2023,AK,18.85,cents per kilowatt-hour
504,04,2023,AK,23.44,cents per kilowatt-hour
505,04,2023,AK,0.0,cents per kilowatt-hour
506,04,2023,AZ,11.78,cents per kilowatt-hour
507,04,2023,AZ,11.49,cents per kilowatt-hour
508,04,2023,AZ,7.53,cents per kilowatt-hour
510,04,2023,AZ,14.12,cents per kilowatt-hour
511,04,2023,AZ,9.28,cents per kilowatt-hour
512,04,2023,AR,9.22,cents per kilowatt-hour
513,04,2023,AR,10.26,cents per kilowatt-hour
514,06,2023,AL,11.76,cents per kilowatt-hour
515,08,2023,ME,12.59,cents per kilowatt-hour
517,08,2023,ME,25.37,cents per kilowatt-hour
518,08,2023,ME,0.0,cents per kilowatt-hour
519,08,2023,MD,14.14,cents per kilowatt-hour
520,08,2023,MD,12.45,cents per kilowatt-hour
521,08,2023,MD,10.02,cents per kilowatt-hour
523,08,2023,MD,16.39,cents per kilowatt-hour
524,08,2023,MD,11.17,cents per kilowatt-hour
525,08,2023,MA,22.32,cents per kilowatt-hour
526,08,2023,MA,18.53,cents per kilowatt-hour
527,08,2023,MA,17.67,cents per kilowatt-hour
529,08,2023,MA,28.02,cents per kilowatt-hour
530,08,2023,MA,6.75,cents per kilowatt-hour
531,08,2023,MI,14.03,cents per kilowatt-hour
532,08,2023,MI,13.58,cents per kilowatt-hour
533,08,2023,MI,8.13,cents per kilowatt-hour
535,08,2023,MI,19.57,cents per kilowatt-hour
537,01,2023,ND,9.95,cents per kilowatt-hour
538,01,2023,ND,0.0,cents per kilowatt-hour
539,01,2023,OH,10.96,cents per kilowatt-hour
540,01,2023,OH,10.47,cents per kilowatt-hour
541,01,2023,OH,7.42,cents per kilowatt-hour
543,01,2023,OH,14.3,cents per kilowatt-hour
544,01,2023,OH,5.51,cents per kilowatt-hour
545,01,2023,OK,8.8,cents per kilowatt-hour
546,01,2023,OK,9.02,cents per kilowatt-hour
547,01,2023,OK,6.29,cents per kilowatt-hour
548,04,2023,RI,17.93,cents per kilowatt-hour
550,04,2023,RI,23.54,cents per kilowatt-hour
551,04,2023,RI,16.69,cents per kilowatt-hour
552,04,2023,SC,10.14,cents per kilowatt-hour
553,04,2023,SC,10.26,cents per kilowatt-hour
554,04,2023,SC,6.32,cents per kilowatt-hour
556,04,2023,SC,13.9,cents per kilowatt-hour
557,04,2023,SC,0.0,cents per kilowatt-hour
558,04,2023,SD,10.18,cents per kilowatt-hour
559,04,2023,SD,9.77,cents per kilowatt-hour
560,04,2023,SD,7.88,cents per kilowatt-hour
562,04,2023,SD,11.92,cents per kilowatt-hour
563,04,2023,SD,0.0,cents per kilowatt-hour
564,04,2023,TN,10.09,cents per kilowatt-hour
565,04,2023,TN,11.34,cents per kilowatt-hour
566,04,2023,TN,5.78,cents per kilowatt-hour
568,04,2023,TN,11.86,cents per kilowatt-hour
569,04,2023,TN,0.0,cents per kilowatt-hour
570,04,2023,TX,8.94,cents per kilowatt-hour
571,04,2023,TX,8.09,cents per kilowatt-hour
572,04,2023,TX,5.6,cents per kilowatt-hour
574,04,2023,TX,14.36,cents per kilowatt-hour
575,04,2023,TX,7.14,cents per kilowatt-hour
576,04,2023,UT,8.84,cents per kilowatt-hour
577,04,2023,UT,8.53,cents per kilowatt-hour
578,04,2023,UT,6.92,cents per kilowatt-hour
580,04,2023,UT,10.84,cents per kilowatt-hour
581,04,2023,UT,12.2,cents per kilowatt-hour
582,04,2023,VT,17.23,cents per kilowatt-hour
583,04,2023,VT,17.77,cents per kilowatt-hour
584,04,2023,VT,10.84,cents per kilowatt-hour
586,04,2023,VT,20.75,cents per kilowatt-hour
587,10,2023,OK,13.04,cents per kilowatt-hour
588,10,2023,OK,0.0,cents per kilowatt-hour
589,10,2023,OR,10.32,cents per kilowatt-hour
590,10,2023,OR,9.91,cents per kilowatt-hour
591,10,2023,OR,7.48,cents per kilowatt-hour
593,10,2023,OR,13.29,cents per kilowatt-hour
594,10,2023,OR,11.66,cents per kilowatt-hour
595,10,2023,PA,12.18,cents per kilowatt-hour
596,10,2023,PA,11.19,cents per kilowatt-hour
597,10,2023,PA,7.63,cents per kilowatt-hour
599,10,2023,PA,18.44,cents per kilowatt-hour
600,10,2023,PA,10.83,cents per kilowatt-hour
601,10,2023,RI,23.64,cents per kilowatt-hour
602,10,2023,RI,19.77,cents per kilowatt-hour
603,10,2023,RI,18.87,cents per kilowatt-hour
605,10,2023,RI,30.08,cents per kilowatt-hour
606,10,2023,RI,17.42,cents per kilowatt-hour
607,10,2023,SC,10.14,cents per kilowatt-hour
608,10,2023,SC,10.06,cents per kilowatt-hour
609,10,2023,SC,6.52,cents per kilowatt-hour
611,10,2023,SC,14.0,cents per kilowatt-hour
612,10,2023,SC,0.0,cents per kilowatt-hour
613,10,2023,SD,10.65,cents per kilowatt-hour
614,10,2023,SD,10.41,cents per kilowatt-hour
615,10,2023,SD,8.07,cents per kilowatt-hour
617,10,2023,SD,13.05,cents per kilowatt-hour
618,10,2023,SD,0.0,cents per kilowatt-hour
619,10,2023,TN,10.61,cents per kilowatt-hour
620,10,2023,TN,11.57,cents per kilowatt-hour
621,03,2023,PACC,12.2,cents per kilowatt-hour
623,03,2023,PACC,21.13,cents per kilowatt-hour
624,03,2023,PACC,11.63,cents per kilowatt-hour
625,03,2023,PACN,32.43,cents per kilowatt-hour
626,03,2023,PACN,30.92,cents per kilowatt-hour
627,03,2023,PACN,32.27,cents per kilowatt-hour
629,03,2023,PACN,34.25,cents per kilowatt-hour
630,03,2023,PACN,0.0,cents per kilowatt-hour
631,03,2023,US,12.46,cents per kilowatt-hour
632,03,2023,US,12.36,cents per kilowatt-hour
633,03,2023,US,7.8,cents per kilowatt-hour
635,03,2023,US,16.04,cents per kilowatt-hour
636,03,2023,US,12.28,cents per kilowatt-hour
637,12,2023,AL,11.19,cents per kilowatt-hour
